,filename,basedOn,testEdgeFraction,sampleId,negativeEdgeSampler,model,dim,trainNegativeEdgeSampler,withDegree,score,metric,data
59,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~leigenmap_dim~128.csv,emb,0.25,4,heart,leigenmap,128,,,0.4104779803135969,aucroc,Princeton12
60,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~modspec_dim~128.csv,emb,0.25,0,uniform,modspec,128,,,0.8906726602430906,aucroc,Princeton12
61,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~modspec_dim~128.csv,emb,0.25,1,uniform,modspec,128,,,0.8932284309636191,aucroc,Princeton12
62,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~modspec_dim~128.csv,emb,0.25,2,uniform,modspec,128,,,0.8925406430668433,aucroc,Princeton12
63,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~uniform_model~modspec_dim~128.csv,emb,0.25,3,uniform,modspec,128,,,0.8930173606473277,aucroc,Princeton12
64,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~uniform_model~modspec_dim~128.csv,emb,0.25,4,uniform,modspec,128,,,0.8936791683534906,aucroc,Princeton12
65,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~degreeBiased_model~modspec_dim~128.csv,emb,0.25,0,degreeBiased,modspec,128,,,0.8801757189763355,aucroc,Princeton12
66,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~degreeBiased_model~modspec_dim~128.csv,emb,0.25,1,degreeBiased,modspec,128,,,0.882741883009927,aucroc,Princeton12
67,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~modspec_dim~128.csv,emb,0.25,2,degreeBiased,modspec,128,,,0.8826242399886974,aucroc,Princeton12
68,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~modspec_dim~128.csv,emb,0.25,3,degreeBiased,modspec,128,,,0.8837444439149749,aucroc,Princeton12
69,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~modspec_dim~128.csv,emb,0.25,4,degreeBiased,modspec,128,,,0.8845148080317475,aucroc,Princeton12
70,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~modspec_dim~128.csv,emb,0.25,0,heart,modspec,128,,,0.7415543662882924,aucroc,Princeton12
71,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~modspec_dim~128.csv,emb,0.25,1,heart,modspec,128,,,0.7432431922700715,aucroc,Princeton12
72,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~modspec_dim~128.csv,emb,0.25,2,heart,modspec,128,,,0.7441956632712761,aucroc,Princeton12
73,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~modspec_dim~128.csv,emb,0.25,3,heart,modspec,128,,,0.7350799140658983,aucroc,Princeton12
74,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~modspec_dim~128.csv,emb,0.25,4,heart,modspec,128,,,0.7370126219724501,aucroc,Princeton12
75,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~fastrp_dim~128.csv,emb,0.25,0,uniform,fastrp,128,,,0.8078013369621063,aucroc,Princeton12
